lon,lat,ortho_h,class_ph,confidence,x_atc,y_atc
18.048001996495625,-33.2282671897027,-1.757621,40,0.8156591057777405,36447393.54349557,8752.514
18.047998330743102,-33.22823533660334,-1.8322741,40,0.8156591057777405,36447397.093082584,8752.518
18.047995364968536,-33.22820985660255,-2.1018574,40,0.6329258680343628,36447399.932137646,8752.526
18.047995419125936,-33.2282098487186,-1.7614659,40,0.6209601759910583,36447399.93316952,8752.517
18.047954453988766,-33.227852860669024,-1.9947054,40,0.5348948240280151,36447439.71380257,8752.537
18.04795445022827,-33.22785286121643,-2.0183427,40,0.5348948240280151,36447439.71380352,8752.538
18.047942752355787,-33.22775079558208,-1.944417,40,0.7560774683952332,36447451.088004194,8752.541
18.047050008844618,-33.219785776211374,-0.7529622,40,0.37754955887794495,36448338.4729946,8750.943
18.047038932786364,-33.21968357371322,-0.78768367,40,0.5996182560920715,36448349.8560832,8750.889
18.047026456968815,-33.21956868301855,-0.8024976,40,0.6475130319595337,36448362.65173851,8750.828
18.047009127879534,-33.21940925075995,-0.59378654,40,0.45256108045578003,36448380.40971125,8750.744
18.046965816719894,-33.21901447484645,-0.8445051,40,0.49048787355422974,36448424.3826311,8750.582
18.046474892945625,-33.214523504350346,-0.78790647,40,0.7243377566337585,36448924.61184119,8748.532
18.04647221895254,-33.21449797988079,-0.597544,40,0.579056441783905,36448927.45372008,8748.508
18.046472205220116,-33.214497981878786,-0.6839026,40,0.6449978947639465,36448927.45372771,8748.511
18.045729542905118,-33.207723061876386,-10.785272,40,0.7341595888137817,36449682.0985156,8745.737
18.04572607723708,-33.207691015255435,-10.799354,40,0.714418888092041,36449685.66722116,8745.719
18.04572203892367,-33.207652544166734,-10.103717,40,0.6689748764038086,36449689.952418536,8745.678
18.045388826659774,-33.20448811933165,-1.7267439,40,0.4871862828731537,36450042.31133655,8742.955
18.045386744156783,-33.2044689472413,-1.8673859,40,0.5240501165390015,36450044.446881324,8742.946
18.045382648290406,-33.20443059436628,-1.7280769,40,0.5054813027381897,36450048.71935682,8742.918
18.045378499420522,-33.204392247885686,-1.937902,40,0.5700449347496033,36450052.989393756,8742.899
18.045375773576467,-33.204366678131514,-1.8338068,40,0.5700449347496033,36450055.83676486,8742.88
18.045373020302016,-33.204341114334525,-1.9089894,40,0.5700449347496033,36450058.68413071,8742.866
18.045362077360796,-33.2042388416567,-1.8009896,40,0.5339426398277283,36450070.07414903,8742.796
18.045361409783705,-33.204232447384854,-1.692326,40,0.5339426398277283,36450070.78598501,8742.789
18.04536003567624,-33.204219664609624,-1.7213922,40,0.5283088684082031,36450072.20965721,8742.781
18.045359333694076,-33.20421327543499,-1.8294957,40,0.5766751766204834,36450072.921493545,8742.78
18.04501959485707,-33.20102338334918,-9.095404,40,0.6358525156974792,36450428.14498013,8740.583
18.04500944209367,-33.20092159570288,-9.064366,40,0.62834233045578,36450439.47558908,8740.446
18.04499667906721,-33.200794341679874,-8.957384,40,0.5153055191040039,36450453.639473304,8740.28
18.044216909212277,-33.19353905407168,-4.307602,40,0.7111676931381226,36451261.655010864,8735.692
18.044209488041744,-33.19346994745204,-4.242169,40,0.8396079540252686,36451269.352100156,8735.648
18.04420673353157,-33.19344483117397,-4.5352497,40,0.8909464478492737,36451272.15026023,8735.642
18.04420333721397,-33.193413432283705,-4.580983,40,0.9417241811752319,36451275.6461251,8735.624
18.044189053964892,-33.19328157181524,-4.5863132,40,0.5451852083206177,36451290.33296926,8735.553
18.04412309662247,-33.192677240497616,-5.6360693,40,0.5504217147827148,36451357.64487096,8735.281
18.043937974465045,-33.19101569347826,-1.5809408,40,0.47965648770332336,36451542.749041826,8734.804
18.043936557838958,-33.191002868725946,-1.5769476,40,0.4809814393520355,36451544.17766121,8734.8
18.043934443670803,-33.1909836347003,-1.5231903,40,0.4809814393520355,36451546.319541246,8734.791
18.04393161587149,-33.190958000550694,-1.5459836,40,0.4809814393520355,36451549.17703971,8734.782
18.04393161187593,-33.1909580011323,-1.5711534,40,0.4809814393520355,36451549.17703995,8734.783
18.043930911639897,-33.19095159240953,-1.5409224,40,0.4809814393520355,36451549.8903074,8734.779
18.043930212389014,-33.19094518458889,-1.507407,40,0.4809814393520355,36451550.60461542,8734.776
18.043771081599356,-33.189422790035195,-3.0148165,40,0.8642175197601318,36451720.10995863,8733.427
18.04375707419571,-33.18928976755228,-2.9307137,40,0.8501172065734863,36451734.923002705,8733.316
